file,kannada,roman
c85.ogg,ಅ,a
c85_ca8_cbe_ca8_cb8_ccd.ogg,ಅನಾನಸ್,anaanas
c86.ogg,ಆ,aa
c86_ca8_cc6.ogg,ಆನೆ,aane
c87.ogg,ಇ,i
c87_cb2_cbf.ogg,ಇಲಿ,ili
c88.ogg,ಈ,ii
c88_cb0_cc1_cb3_ccd_cb3_cbf.ogg,ಈರುಳ್ಳಿ,iiruLLi
c89.ogg,ಉ,u
c89_c82_c97_cc1_cb0.ogg,ಉಂಗುರ,ungura
c8a.ogg,ಊ,uu
c8a_c9f.ogg,ಊಟ,uuTa
c8b.ogg,ಋ,ru
c8b_cb7_cbf.ogg,ಋಷಿ,rushi
c8e.ogg,ಎ,e
c8e_cb2_cc6.ogg,ಎಲೆ,ele
c8f.ogg,ಏ,ee
c8f_ca3_cbf.ogg,ಏಣಿ,eeNi
c90.ogg,ಐ,ai
c90_ca6_cc1.ogg,ಐದು,aidu
c92.ogg,ಒ,o
c92_c82_c9f_cc6.ogg,ಒಂಟೆ,onTe
c93.ogg,ಓ,oo
c93_ca6_cc1.ogg,ಓದು,oodu
c94.ogg,ಔ,au
c94_cb7_ca7_cbf.ogg,ಔಷಧಿ,aushadhi
c85_c82.ogg,ಅಂ,am
c85_c82_c97_ca1_cbf.ogg,ಅಂಗಡಿ,angaDi
c85_c83.ogg,ಅಃ,ah
ca6_cc1_c83_c96.ogg,ದುಃಖ,duhkha
c95.ogg,ಕ,ka
c95_cae_cb2.ogg,ಕಮಲ,kamala
c96.ogg,ಖ,kha
c96_ca1_ccd_c97.ogg,ಖಡ್ಗ,khaDga
c97.ogg,ಗ,ga
c97_ca1_cbf_caf_cbe_cb0.ogg,ಗಡಿಯಾರ,gaDiyaara
c98.ogg,ಘ,gha
c98_c82_c9f_cc6.ogg,ಘಂಟೆ,ghanTe
c99.ogg,ಙ,nga
cb5_cbe_c99_ccd_cae_caf.ogg,ವಾಙ್ಮಯ,vaangmaya
c9a.ogg,ಚ,cha
c9a_cae_c9a.ogg,ಚಮಚ,chamacha
c9b.ogg,ಛ,chha
c9b_ca4_ccd_cb0_cbf.ogg,ಛತ್ರಿ,chhatri
c9c.ogg,ಜ,ja
c9c_cbf_c82_c95_cc6.ogg,ಜಿಂಕೆ,jinke
c9d.ogg,ಝ,jha
c9d_cb0_cbf.ogg,ಝರಿ,jhari
c9e.ogg,ಞ,nya
c9c_ccd_c9e_cbe_ca8.ogg,ಜ್ಞಾನ,jnaana
c9f.ogg,ಟ,Ta
c9f_c97_cb0_cc1.ogg,ಟಗರು,Tagaru
ca0.ogg,ಠ,Tha
cae_ca0.ogg,ಮಠ,maTha
ca1.ogg,ಡ,Da
ca1_cae_cb0_cc1.ogg,ಡಮರು,Damaru
ca2.ogg,ಢ,Dha
ca2_c95_ccd_c95_cc6.ogg,ಢಕ್ಕೆ,Dhakke
ca3.ogg,ಣ,Na
cac_cbe_ca3.ogg,ಬಾಣ,baaNa
ca4.ogg,ತ,ta
ca4_cb0_c95_cbe_cb0_cbf.ogg,ತರಕಾರಿ,tarakaari
ca5.ogg,ಥ,tha
c95_ca5_cc6.ogg,ಕಥೆ,kathe
ca6.ogg,ದ,da
ca6_ca8.ogg,ದನ,dana
ca7.ogg,ಧ,dha
ca7_ccd_cb5_c9c.ogg,ಧ್ವಜ,dhvaja
ca8.ogg,ನ,na
ca8_cb5_cbf_cb2_cc1.ogg,ನವಿಲು,navilu
caa.ogg,ಪ,pa
caa_cc1_cb8_ccd_ca4_c95.ogg,ಪುಸ್ತಕ,pustaka
cab.ogg,ಫ,pha
cab_cb2.ogg,ಫಲ,phala
cac.ogg,ಬ,ba
cac_cbe_ca4_cc1_c95_ccb_cb3_cbf.ogg,ಬಾತುಕೋಳಿ,baatukoLi
cad.ogg,ಭ,bha
cad_cc2_cae_cbf.ogg,ಭೂಮಿ,bhuumi
cae.ogg,ಮ,ma
cae_cb0.ogg,ಮರ,mara
caf.ogg,ಯ,ya
caf_c82_ca4_ccd_cb0.ogg,ಯಂತ್ರ,yantra
cb0.ogg,ರ,ra
cb0_cc8_cb2_cc1.ogg,ರೈಲು,railu
cb2.ogg,ಲ,la
cb2_cbe_cb0_cbf.ogg,ಲಾರಿ,laari
cb5.ogg,ವ,va
cb5_c9c_ccd_cb0.ogg,ವಜ್ರ,vajra
cb6.ogg,ಶ,sha
cb6_c82_c96.ogg,ಶಂಖ,shankha
cb7.ogg,ಷ,Sha
c95_cc3_cb7_cbf.ogg,ಕೃಷಿ,krushi
cb8.ogg,ಸ,sa
cb8_cc2_cb0_ccd_caf.ogg,ಸೂರ್ಯ,suurya
cb9.ogg,ಹ,ha
cb9_cc2_cb5_cc1.ogg,ಹೂವು,huuvu
cb3.ogg,ಳ,La
cac_cbe_cb3_cc6_cb9_ca3_ccd_ca3_cc1.ogg,ಬಾಳೆಹಣ್ಣು,baaLehaNNu
cb8_cca_ca8_ccd_ca8_cc6.ogg,ಸೊನ್ನೆ,sonne
c92_c82_ca6_cc1.ogg,ಒಂದು,ondu
c8e_cb0_ca1_cc1.ogg,ಎರಡು,eraDu
cae_cc2_cb0_cc1.ogg,ಮೂರು,mooru
ca8_cbe_cb2_ccd_c95_cc1.ogg,ನಾಲ್ಕು,naalku
c86_cb0_cc1.ogg,ಆರು,aaru
c8f_cb3_cc1.ogg,ಏಳು,eeLu
c8e_c82_c9f_cc1.ogg,ಎಂಟು,enTu
c92_c82_cac_ca4_ccd_ca4_cc1.ogg,ಒಂಬತ್ತು,ombattu
cb9_ca4_ccd_ca4_cc1.ogg,ಹತ್ತು,hattu
c95_cbe.ogg,ಕಾ,kaa
c95_cbf.ogg,ಕಿ,ki
c95_cc0.ogg,ಕೀ,kii
c95_cc1.ogg,ಕು,ku
c95_cc2.ogg,ಕೂ,kuu
c95_cc3.ogg,ಕೃ,kru
c95_cc6.ogg,ಕೆ,ke
c95_cc7.ogg,ಕೇ,kee
c95_cc8.ogg,ಕೈ,kai
c95_cca.ogg,ಕೊ,ko
c95_ccb.ogg,ಕೋ,koo
c95_ccc.ogg,ಕೌ,kau
c95_c82.ogg,ಕಂ,kam
c95_c83.ogg,ಕಃ,kah
c96_cbe.ogg,ಖಾ,khaa
c96_cbf.ogg,ಖಿ,khi
c96_cc0.ogg,ಖೀ,khii
c96_cc1.ogg,ಖು,khu
c96_cc2.ogg,ಖೂ,khuu
c96_cc3.ogg,ಖೃ,khru
c96_cc6.ogg,ಖೆ,khe
c96_cc7.ogg,ಖೇ,khee
c96_cc8.ogg,ಖೈ,khai
c96_cca.ogg,ಖೊ,kho
c96_ccb.ogg,ಖೋ,khoo
c96_ccc.ogg,ಖೌ,khau
c96_c82.ogg,ಖಂ,kham
c96_c83.ogg,ಖಃ,khah
c97_cbe.ogg,ಗಾ,gaa
c97_cbf.ogg,ಗಿ,gi
c97_cc0.ogg,ಗೀ,gii
c97_cc1.ogg,ಗು,gu
c97_cc2.ogg,ಗೂ,guu
c97_cc3.ogg,ಗೃ,gru
c97_cc6.ogg,ಗೆ,ge
c97_cc7.ogg,ಗೇ,gee
c97_cc8.ogg,ಗೈ,gai
c97_cca.ogg,ಗೊ,go
c97_ccb.ogg,ಗೋ,goo
c97_ccc.ogg,ಗೌ,gau
c97_c82.ogg,ಗಂ,gam
c97_c83.ogg,ಗಃ,gah
c98_cbe.ogg,ಘಾ,ghaa
c98_cbf.ogg,ಘಿ,ghi
c98_cc0.ogg,ಘೀ,ghii
c98_cc1.ogg,ಘು,ghu
c98_cc2.ogg,ಘೂ,ghuu
c98_cc3.ogg,ಘೃ,ghru
c98_cc6.ogg,ಘೆ,ghe
c98_cc7.ogg,ಘೇ,ghee
c98_cc8.ogg,ಘೈ,ghai
c98_cca.ogg,ಘೊ,gho
c98_ccb.ogg,ಘೋ,ghoo
c98_ccc.ogg,ಘೌ,ghau
c98_c82.ogg,ಘಂ,gham
c98_c83.ogg,ಘಃ,ghah
c99_cbe.ogg,ಙಾ,ngaa
c99_cbf.ogg,ಙಿ,ngi
c99_cc0.ogg,ಙೀ,ngii
c99_cc1.ogg,ಙು,ngu
c99_cc2.ogg,ಙೂ,nguu
c99_cc3.ogg,ಙೃ,ngru
c99_cc6.ogg,ಙೆ,nge
c99_cc7.ogg,ಙೇ,ngee
c99_cc8.ogg,ಙೈ,ngai
c99_cca.ogg,ಙೊ,ngo
